,overall_qual,year_built,roof_style,roof_matl,mas_vnr_area,exter_cond,bsmt_exposure,total_bsmt_sf,gr_liv_area,full_bath,kitchen_qual,garage_area,paved_drive,saleprice,has_basement,attached_garage,offsite_feature,residential_low,residential_other,floating_village,hillside,banked,culdesac,northridge,northridge_hts,briardale
0,6,1976,0.0,0.0,289.0,3,0.0,725.0,1479,2,3,475.0,1,130500,1,1.0,0,1,0,0,0,0,1,0,0,0
1,7,1996,0.0,0.0,132.0,3,0.0,913.0,2122,2,3,559.0,1,220000,1,1.0,0,1,0,0,0,0,1,0,0,0
2,5,1953,0.0,0.0,0.0,4,0.0,1057.0,1057,1,3,246.0,1,109000,1,0.0,0,1,0,0,0,0,0,0,0,0
3,5,2006,0.0,0.0,0.0,3,0.0,384.0,1444,2,2,400.0,1,174000,1,1.0,0,1,0,0,0,0,0,0,0,0
4,6,1900,0.0,0.0,0.0,3,0.0,676.0,1445,2,2,484.0,0,138500,1,0.0,0,1,0,0,0,0,0,0,0,0
5,6,1966,0.0,0.0,0.0,3,0.0,1517.0,1888,2,3,578.0,1,190000,1,1.0,1,1,0,0,0,0,0,0,0,0
6,6,2005,0.0,0.0,82.0,3,1.0,547.0,1072,2,2,525.0,1,140000,1,0.0,0,0,1,0,0,0,0,0,0,0
7,5,1959,1.0,0.0,180.0,3,0.0,1188.0,1188,1,2,531.0,1,142000,1,1.0,0,1,0,0,0,0,0,0,0,0
8,5,1952,0.0,0.0,0.0,3,0.0,924.0,924,1,2,420.0,1,112500,1,0.0,0,1,0,0,0,0,0,0,0,0
9,5,1969,0.0,0.0,192.0,3,0.0,1040.0,2080,1,1,504.0,1,135000,1,1.0,0,1,0,0,1,0,0,0,0,0
10,6,1971,0.0,0.0,232.0,3,0.0,483.0,987,1,2,264.0,1,85400,1,0.0,0,0,1,0,0,0,0,0,0,1
11,7,2005,0.0,0.0,0.0,3,0.0,1208.0,1208,2,3,632.0,1,183600,1,1.0,0,1,0,0,0,0,0,0,0,0
12,5,1880,0.0,0.0,0.0,3,0.0,0.0,2016,1,2,576.0,0,131000,0,1.0,0,1,0,0,0,1,0,0,0,0
13,8,1999,0.0,0.0,456.0,3,0.0,960.0,1607,2,3,480.0,1,200000,1,0.0,0,0,0,1,0,0,0,0,0,0
14,7,2007,0.0,0.0,0.0,3,0.0,1351.0,1361,2,3,610.0,1,193000,1,1.0,0,1,0,0,0,0,0,0,0,0
15,5,2004,0.0,0.0,0.0,3,0.0,1430.0,1430,2,3,624.0,1,173500,1,1.0,0,1,0,0,0,0,0,0,0,0
16,5,1916,0.0,0.0,0.0,3,0.0,624.0,1344,1,2,513.0,1,98000,1,0.0,0,0,1,0,0,0,0,0,0,0
17,5,1963,0.0,0.0,0.0,3,0.0,1121.0,1121,1,2,480.0,1,139000,1,0.0,0,1,0,0,0,0,0,0,0,0
18,6,1977,0.0,0.0,148.0,3,0.0,660.0,1285,1,2,528.0,1,143500,1,1.0,0,1,0,0,0,0,0,0,0,0
19,7,2009,0.0,0.0,0.0,3,0.0,756.0,1547,2,3,614.0,1,215200,1,1.0,0,0,0,1,0,0,0,0,0,0
20,5,1968,0.0,0.0,0.0,3,0.0,894.0,894,1,2,450.0,1,129000,1,1.0,0,1,0,0,0,0,0,0,0,0
21,8,2000,0.0,0.0,0.0,3,0.0,1501.0,1659,2,4,499.0,1,278000,1,1.0,0,1,0,0,0,0,0,0,0,0
22,8,2005,0.0,0.0,0.0,3,0.0,1209.0,2253,2,4,575.0,1,344133,1,1.0,0,1,0,0,0,0,0,0,1,0
23,6,1992,0.0,0.0,0.0,4,0.0,1168.0,1187,2,2,420.0,1,185000,1,1.0,0,1,0,0,0,0,0,0,0,0
24,5,1955,1.0,0.0,0.0,3,0.0,1056.0,1056,1,2,572.0,1,145000,1,1.0,0,1,0,0,0,1,0,0,0,0
