,overall_qual,year_built,roof_style,roof_matl,mas_vnr_area,exter_cond,bsmt_exposure,total_bsmt_sf,gr_liv_area,full_bath,kitchen_qual,garage_area,paved_drive,saleprice,has_basement,attached_garage,offsite_feature,residential_low,residential_other,floating_village,hillside,banked,culdesac,northridge,northridge_hts,briardale,log_gr_liv_area,log_total_bsmt_sf,sqrt_gr_liv_area,inter_qual_rl,inter_qual_fv,inter_area_fv,fireplaces,str_gravel,commercial,regular_lot,ir2_lot,qual_bsmt_sf,square_overall_qual
0,6,1976,0.0,0.0,289.0,3,0.0,725.0,1479,2,3,475.0,1,130500,1,1.0,0,1,0,0,0,0,1,0,0,0,7.2991214627108,6.586185447862999,38.45776904605882,6,0,0.0,0,0.0,0.0,0.0,0.0,4350.0,36
1,7,1996,0.0,0.0,132.0,3,0.0,913.0,2122,2,3,559.0,1,220000,1,1.0,0,1,0,0,0,0,1,0,0,0,7.660114319173928,6.816746833437505,46.06517122512408,7,0,0.0,1,0.0,0.0,0.0,0.0,6391.0,49
2,5,1953,0.0,0.0,0.0,4,0.0,1057.0,1057,1,3,246.0,1,109000,1,0.0,0,1,0,0,0,0,0,0,0,0,6.963189985870238,6.963199446563423,32.51153641401772,5,0,0.0,0,0.0,0.0,1.0,0.0,5285.0,25
3,5,2006,0.0,0.0,0.0,3,0.0,384.0,1444,2,2,400.0,1,174000,1,1.0,0,1,0,0,0,0,0,0,0,0,7.275172319452771,5.950668593915315,38.0,5,0,0.0,0,0.0,0.0,1.0,0.0,1920.0,25
4,6,1900,0.0,0.0,0.0,3,0.0,676.0,1445,2,2,484.0,0,138500,1,0.0,0,1,0,0,0,0,0,0,0,0,7.275864600546533,6.516207868832958,38.01315561749642,6,0,0.0,0,0.0,0.0,0.0,0.0,4056.0,36
5,6,1966,0.0,0.0,0.0,3,0.0,1517.0,1888,2,3,578.0,1,190000,1,1.0,1,1,0,0,0,0,0,0,0,0,7.543273346705446,7.324496571284617,43.45112196480086,6,0,0.0,1,0.0,0.0,0.0,0.0,9102.0,36
6,6,2005,0.0,0.0,82.0,3,1.0,547.0,1072,2,2,525.0,1,140000,1,0.0,0,0,1,0,0,0,0,0,0,0,6.977281341630747,6.304467083790525,32.7414110874898,0,0,0.0,0,0.0,0.0,1.0,0.0,3282.0,36
7,5,1959,1.0,0.0,180.0,3,0.0,1188.0,1188,1,2,531.0,1,142000,1,1.0,0,1,0,0,0,0,0,0,0,0,7.080026499922591,7.08003491739558,34.46737587922817,5,0,0.0,0,0.0,0.0,0.0,0.0,5940.0,25
8,5,1952,0.0,0.0,0.0,3,0.0,924.0,924,1,2,420.0,1,112500,1,0.0,0,1,0,0,0,0,0,0,0,0,6.828712071641684,6.828722894093944,30.397368307141328,5,0,0.0,0,0.0,0.0,1.0,0.0,4620.0,25
9,5,1969,0.0,0.0,192.0,3,0.0,1040.0,2080,1,1,504.0,1,135000,1,1.0,0,1,0,0,1,0,0,0,0,0,7.640123172695364,6.946985607473806,45.60701700396552,5,0,0.0,2,0.0,0.0,0.0,0.0,5200.0,25
10,6,1971,0.0,0.0,232.0,3,0.0,483.0,987,1,2,264.0,1,85400,1,0.0,0,0,1,0,0,0,0,0,0,1,6.894670039433482,6.180037357371996,31.416556144810016,0,0,0.0,0,0.0,0.0,1.0,0.0,2898.0,36
11,7,2005,0.0,0.0,0.0,3,0.0,1208.0,1208,2,3,632.0,1,183600,1,1.0,0,1,0,0,0,0,0,0,0,0,7.0967213784947605,7.096729656606192,34.75629439396553,7,0,0.0,0,0.0,0.0,0.0,0.0,8456.0,49
12,5,1880,0.0,0.0,0.0,3,0.0,0.0,2016,1,2,576.0,0,131000,0,1.0,0,1,0,0,0,1,0,0,0,0,7.60887062919126,-4.605170185988091,44.8998886412873,5,0,0.0,1,0.0,0.0,1.0,0.0,0.0,25
13,8,1999,0.0,0.0,456.0,3,0.0,960.0,1607,2,3,480.0,1,200000,1,0.0,0,0,0,1,0,0,0,0,0,0,7.382124365737512,6.8669437010742955,40.08740450565489,0,8,40.08740450565489,0,0.0,0.0,1.0,0.0,7680.0,64
14,7,2007,0.0,0.0,0.0,3,0.0,1351.0,1361,2,3,610.0,1,193000,1,1.0,0,1,0,0,0,0,0,0,0,0,7.215975002651466,7.208607739857305,36.89173349139343,7,0,0.0,0,0.0,0.0,1.0,0.0,9457.0,49
15,5,2004,0.0,0.0,0.0,3,0.0,1430.0,1430,2,3,624.0,1,173500,1,1.0,0,1,0,0,0,0,0,0,0,0,7.265429723253953,7.265436716236495,37.815340802378074,5,0,0.0,0,0.0,0.0,1.0,0.0,7150.0,25
16,5,1916,0.0,0.0,0.0,3,0.0,624.0,1344,1,2,513.0,1,98000,1,0.0,0,0,1,0,0,0,0,0,0,0,7.203405521083095,6.436166393882044,36.66060555964672,0,0,0.0,0,0.0,0.0,1.0,0.0,3120.0,25
17,5,1963,0.0,0.0,0.0,3,0.0,1121.0,1121,1,2,480.0,1,139000,1,0.0,0,1,0,0,0,0,0,0,0,0,7.02197642307216,7.021985343638973,33.481338085566414,5,0,0.0,0,0.0,0.0,1.0,0.0,5605.0,25
18,6,1977,0.0,0.0,148.0,3,0.0,660.0,1285,1,2,528.0,1,143500,1,1.0,0,1,0,0,0,0,0,0,0,0,7.158513997329321,6.49225498642084,35.84689665786984,6,0,0.0,1,0.0,0.0,1.0,0.0,3960.0,36
19,7,2009,0.0,0.0,0.0,3,0.0,756.0,1547,2,3,614.0,1,215200,1,1.0,0,0,0,1,0,0,0,0,0,0,7.344072850573066,6.628054603605277,39.331920878594275,0,7,39.331920878594275,0,0.0,0.0,1.0,0.0,5292.0,49
20,5,1968,0.0,0.0,0.0,3,0.0,894.0,894,1,2,450.0,1,129000,1,1.0,0,1,0,0,0,0,0,0,0,0,6.795705775173514,6.795716960793282,29.899832775452108,5,0,0.0,1,0.0,0.0,1.0,0.0,4470.0,25
21,8,2000,0.0,0.0,0.0,3,0.0,1501.0,1659,2,4,499.0,1,278000,1,1.0,0,1,0,0,0,0,0,0,0,0,7.413970290190444,7.313893493836453,40.7308237088326,8,0,0.0,1,0.0,0.0,0.0,0.0,12008.0,64
22,8,2005,0.0,0.0,0.0,3,0.0,1209.0,2253,2,4,575.0,1,344133,1,1.0,0,1,0,0,0,0,0,0,1,0,7.720017940432244,7.09755712187918,47.46577714522327,8,0,0.0,1,0.0,0.0,0.0,0.0,9672.0,64
23,6,1992,0.0,0.0,0.0,4,0.0,1168.0,1187,2,2,420.0,1,185000,1,1.0,0,1,0,0,0,0,0,0,0,0,7.079184394609668,7.0630567249953575,34.45286635390443,6,0,0.0,0,0.0,0.0,0.0,0.0,7008.0,36
